id,minRoids,maxRoids,iceMult,dustMult,rockMult,metalMult,plutonMult
ore_scarce,2,3,,1.2f,1.2f,1.1f,
ore_moderate,2,4,,1.4f,1.4f,1.2f,
ore_abundant,3,5,,1.6f,1.6f,1.3f,
ore_rich,4,6,,1.8f,1.8f,1.4f,
ore_ultrarich,5,7,,2f,2f,1.5f,
rare_ore_scarce,2,3,,,1.1f,1.1f,1.2f
rare_ore_moderate,2,4,,,1.2f,1.2f,1.4f
rare_ore_abundant,3,5,,,1.3f,1.3f,1.6f
rare_ore_rich,4,6,,,1.4f,1.4f,1.8f
rare_ore_ultrarich,5,7,,,1.5f,1.5f,2f
organics_trace,2,3,1.1f,1.2f,1.2f,1.1f,
organics_common,3,5,1.3f,1.6f,1.6f,1.3f,
organics_abundant,4,6,1.4f,1.8f,1.8f,1.4f,
organics_plentiful,5,7,1.5f,2f,2f,1.5f,
volatiles_trace,2,3,1.2f,,,1.1f,1.2f
volatiles_diffuse,2,4,1.4f,,,1.2f,1.4f
volatiles_abundant,3,5,1.6f,,,1.3f,1.6f
volatiles_plentiful,4,6,1.8f,,,1.4f,1.8f
